Coluna #,Coluna,propriedade dublin core,notas sobre o mapeamento
0,PUBLISHER,dc:publisher,
1,TÃ­tulo gerado por IA,dc:title,
2,"NM_AUT, DS_RES",dc:creator,
3,DS_PERIODO_PRODUCAO_MAN,dc:date,
4,NR_DOCUMENTOS_MAN,dc:format,
5,"NR_DOCUMENTOS_TIPO_MAN, IN_DOCUMENTO_TIPO_MAN",dc:format,
6,DS_DEL,dc:subject,
7,DS_RESUMO_MAN,dc:description,
8,"CDSG_FUN, SG_SIGLA_SSE, CD_CLASSIFICACAO_MAN",dc:identifier,
9,URL,dc:identifier,
10,NM_FUN,dc:relation,
11,DS_SER,dc:relation,
12,NM_TIPO_UNIDADE_DOCUMENTAL,dc:type,